Genotype,W2_Control,W2_Drought,W3_Control,W3_Drought,W4_Control,W4_Drought,W5_Control,W5_Drought,cum_W2_Control,cum_W2_Drought,cum_W3_Control,cum_W3_Drought,cum_W4_Control,cum_W4_Drought,cum_W5_Control,cum_W5_Drought
DG_F3_097,-0.0025373157892147704,3.113575485298933e-10,-0.17589214116260848,-0.06634124750691278,0.05469084779744275,-0.01219552204510403,0.02199768818424248,-0.09946263180857853,-0.0025373157892147704,3.113575485298933e-10,-0.19380077352952463,-0.026728580353692848,-0.05446842661105413,0.048632982617410093,-0.038760501961132135,0.00428136553616048
DG_F3_098,0.011982486092550121,3.113575485298933e-10,0.31784923284433386,0.063199524372641,0.023141796206478996,0.07255857792445865,0.28352852036443166,-0.15785196419314818,0.011982486092550121,3.113575485298933e-10,0.3515552197743835,0.10999521144106462,0.37550412774808406,0.13838554682773108,0.5873308568042754,0.04282567729982548
DG_F3_099,-0.0025373157892147704,-6.087444556957764e-11,-0.07714386636122,0.1449306516520642,-0.0471102282612855,-0.06177349230967029,-0.13835920738865456,3.545911973163272e-4,-0.0025373157892147704,-6.087444556957764e-11,-0.09132738727167244,0.14579763617515032,-0.0766793826668086,0.06714492878231818,-0.18485912393170448,0.036870116786005824
DG_F3_101,-0.0025373157892147704,-6.087444556957764e-11,0.17811672101127707,0.274471423531618,0.09080535426514068,0.09984330386155299,0.05456842084848279,0.3733681192755609,-0.0025373157892147704,-6.087444556957764e-11,0.17356247352679013,0.2825214279699078,0.26889997970122087,0.31071821068529715,0.2637205257863805,0.6458959730721915
DG_F3_102,-0.0025373157892147704,3.113575485298933e-10,0.1371324839796087,-0.06634124750691278,0.003790309768078594,-0.01219552204510403,0.02199768818424248,0.07391645025787633,-0.0025373157892147704,3.113575485298933e-10,0.13103217555169613,-0.026728580353692848,0.09611029851720618,-0.022607635428002697,0.06465091484994125,0.036870116786005824
DG_F3_103,-0.0025373157892147704,-6.087444556957764e-11,-0.17589214116260848,0.015389879772510459,0.05469084779744275,-0.01219552204510403,0.09655939849016948,0.05874392358188598,-0.0025373157892147704,-6.087444556957764e-11,-0.19380077352952463,0.009073844380392854,-0.05446842661105413,0.09917900552348687,0.0321596885559873,0.10364408892588481
DG_F3_106,-0.0025373157892147704,-6.087444556957764e-11,-0.07714386636122,-0.14807237478633603,-0.1341252727583476,0.10773470762945504,-0.1803501850303412,0.041782481818641616,-0.0025373157892147704,-6.087444556957764e-11,-0.09132738727167244,-0.16345237214845032,-0.20738973056870244,0.02793838747807389,-0.23189237496835985,0.036870116786005824
DG_F3_107,-0.0025373157892147704,-6.087444556957764e-11,-0.17589214116260848,-0.14807237478633603,-0.1341252727583476,-0.2312816922487956,-0.2395331439959464,-0.257669187199043,-0.0025373157892147704,-6.087444556957764e-11,-0.19380077352952463,-0.16345237214845032,-0.3381000784705961,-0.45920817632788413,-0.5240896189095045,-0.7147603898866641
DG_F3_115,-0.0025373157892147704,3.113575485298933e-10,-0.019379828591499896,-0.018531602906782248,-0.1341252727583476,-0.06177349230967029,0.06398866582592919,0.10017181420321128,-0.0025373157892147704,3.113575485298933e-10,-0.031384298988914254,0.009073844380392854,-0.13092907858987826,-0.05464171216917134,-0.038760501961132135,0.01792535214550961
DG_F3_118,-0.0025373157892147704,-6.087444556957764e-11,-0.019379828591499896,-0.14807237478633603,-0.0832247347289835,-0.034488766372575946,-0.13835920738865456,0.05874392358188598,-0.0025373157892147704,-6.087444556957764e-11,-0.031384298988914254,-0.16345237214845032,-0.16531039728658142,-0.17642835312066088,-0.23189237496835985,-0.07112271985676392
DG_F3_119,-0.0025373157892147704,-6.087444556957764e-11,0.17811672101127707,0.17885213433135694,0.05469084779744275,0.022980607659892367,0.08118064714984774,-0.09946263180857853,-0.0025373157892147704,-6.087444556957764e-11,0.17356247352679013,0.18160006090923603,0.17257095049603036,0.16546997279536546,0.15991842163935754,0.10800317979951637
DG_F3_120,-0.0025373157892147704,-6.087444556957764e-11,0.053394252420393175,-0.06634124750691278,0.003790309768078594,0.17616134740444372,0.3060288371026674,-0.05803474118725328,-0.0025373157892147704,-6.087444556957764e-11,0.04413506100082694,-0.07718926388402873,-0.03460004938468761,0.16546997279536546,0.2962117520803344,0.10364408892588481
DG_F3_121,-0.0025373157892147704,-6.087444556957764e-11,-0.019379828591499896,-0.018531602906782248,0.09080535426514068,-0.01219552204510403,0.08118064714984774,0.05874392358188598,-0.0025373157892147704,-6.087444556957764e-11,-0.031384298988914254,-0.026728580353692848,0.09611029851720618,-0.022607635428002697,0.11762190381580832,0.00428136553616048
DG_F3_124,-0.0025373157892147704,-6.087444556957764e-11,-0.019379828591499896,-0.018531602906782248,-0.2211403172554097,-0.2312816922487956,-0.10578847472441431,-0.09946263180857853,-0.0025373157892147704,-6.087444556957764e-11,-0.031384298988914254,-0.026728580353692848,-0.2616394264917721,-0.2661809173309817,-0.3454997706449782,-0.3745116680570843
DG_F3_126,-0.0025373157892147704,3.113575485298933e-10,0.07936844620988859,0.09712100705193372,0.11881794176661896,0.022980607659892367,0.1977333350974613,0.041782481818641616,-0.0025373157892147704,3.113575485298933e-10,0.07108908726893795,0.12310747074744192,0.17257095049603036,0.09917900552348687,0.25343674198001265,0.08524915142837186
DG_F3_127,-0.0025373157892147704,-6.087444556957764e-11,0.02160440844016847,-0.06634124750691278,0.15493244823431693,-0.01219552204510403,0.22735521723361146,0.132305782642446,-0.0025373157892147704,-6.087444556957764e-11,0.011145998986179729,-0.07718926388402873,0.20163994125966198,-0.022607635428002697,0.2903968796500248,0.06509977716222001
DG_F3_129,-0.0025373157892147704,-6.087444556957764e-11,0.17811672101127707,0.063199524372641,-0.0832247347289835,-0.01219552204510403,0.05456842084848279,-0.15785196419314818,-0.0025373157892147704,-6.087444556957764e-11,0.17356247352679013,0.05953452791072873,0.0762419212908396,0.02793838747807389,0.06890915578627461,-0.08143737124421482
DG_F3_131,-0.0025373157892147704,-6.087444556957764e-11,0.17811672101127707,0.1712421977501255,0.11881794176661896,0.07255857792445865,0.12317162479153435,0.299806260215001,-0.0025373157892147704,-6.087444556957764e-11,0.17356247352679013,0.17356815427777778,0.23602125995636503,0.18893156973380773,0.23509685309281042,0.5313659843044789
DG_F3_132,-0.0025373157892147704,-6.087444556957764e-11,0.17811672101127707,0.063199524372641,0.3157359812886289,0.3104934176385727,0.31609925302867187,0.421822077136257,-0.0025373157892147704,-6.087444556957764e-11,0.1735624735267901,0.05953452791072873,0.4810337704905398,0.39053130853343665,0.6310962011809781,0.6930703980889019
DG_F3_133,0.011982486092550121,3.113575485298933e-10,0.1371324839796087,0.17885213433135694,0.22872093679156688,0.091407247434881,0.08118064714984774,3.545911973163272e-4,0.011982486092550121,3.113575485298933e-10,0.2335055618095484,0.20937057901186348,0.4416896608852357,0.24488420331454994,0.4790598412811944,0.20628452785288737
DG_F3_136,-0.0025373157892147704,-6.087444556957764e-11,0.23588075878099712,0.17885213433135694,0.06791740373725484,0.050265333596986726,0.1977333350974613,0.3456654485484794,-0.0025373157892147704,-6.087444556957764e-11,0.2335055618095484,0.18160006090923603,0.3667316078582587,0.18893156973380756,0.44445024783561793,0.4542074621429154
DG_F3_139,0.011982486092550121,3.113575485298933e-10,0.02160440844016847,0.11100916897277152,0.11015684070354109,0.18459740383111564,0.044498004922478455,0.21695047897235048,0.011982486092550121,3.113575485298933e-10,0.07108908726893795,0.14579763617515032,0.15270257326966383,0.31929069048802355,0.1073381200094402,0.4542074621429154
DG_F3_145,-0.0025373157892147704,-6.087444556957764e-11,0.1371324839796087,-0.14807237478633603,-0.1341252727583476,-0.06177349230967029,0.165162602433221,3.545911973163272e-4,-0.0025373157892147704,-6.087444556957764e-11,0.13103217555169613,-0.16345237214845032,-0.03460004938468761,-0.21563489442490508,0.13371947626384198,-0.18943020788698453
DG_F3_150,0.011982486092550121,3.113575485298933e-10,0.3178492328443339,0.20516368042941818,0.003790309768078594,0.24206677786358397,0.2794166108013026,0.1737336732637712,0.011982486092550121,3.113575485298933e-10,0.3515552197743835,0.23206074443957195,0.3667316078582587,0.4257893469748425,0.5154717972185506,0.549760921801992
DG_F3_152,-0.0025373157892147704,-6.087444556957764e-11,0.02160440844016847,0.1712421977501255,0.09080535426514068,0.1717145184535912,0.12317162479153435,-0.15785196419314818,-0.0025373157892147704,-6.087444556957764e-11,0.011145998986179729,0.17356815427777778,0.10531091205447131,0.304002706023353,0.1457670842326058,0.22195157695610568
DG_F3_154,-0.0025373157892147704,-6.087444556957764e-11,0.15214252722178156,0.22666177893148745,0.11881794176661896,0.12213654818902495,0.10368096388808369,0.1415997048245365,-0.0025373157892147704,-6.087444556957764e-11,0.1466084472586791,0.23206074443957195,0.23602125995636503,0.3499247519895415,0.2312292994924267,0.4136400878853816
DG_F3_157,-0.0025373157892147704,-6.087444556957764e-11,-0.07714386636122,0.015389879772510459,0.05469084779744275,-0.09694962201466668,0.02199768818424248,-0.09946263180857853,-0.0025373157892147704,-6.087444556957764e-11,-0.09132738727167244,0.009073844380392854,-2.1873068798447355e-4,-0.14439427637949223,-3.3153773796665525e-4,-0.10371147110660926
DG_F3_159,-0.0025373157892147704,-6.087444556957764e-11,-0.07714386636122,-0.14807237478633603,-0.0471102282612855,0.050265333596986726,-0.2395331439959464,-0.09946263180857853,-0.0025373157892147704,-6.087444556957764e-11,-0.09132738727167244,-0.16345237214845032,-0.16531039728658142,-0.05464171216917134,-0.2703213391915254,-0.1568414566371391
DG_F3_163,-0.0025373157892147704,-6.087444556957764e-11,-0.07714386636122,-0.018531602906782248,-0.0471102282612855,0.07255857792445865,0.10368096388808369,0.041782481818641616,-0.0025373157892147704,-6.087444556957764e-11,-0.09132738727167244,-0.026728580353692848,-0.13092907858987826,0.048632982617410093,0.021875904749619375,0.04282567729982548
