Genotype,Control_w_2,Drought_w_2,Control_w_3,Drought_w_3,Control_w_4,Drought_w_4,Control_w_5,Drought_w_5
DG_F3_352,-275.97735074203985,31.739946164208487,-1096.3136759403378,-42.80917047277806,-3351.09084702429,-48.80205915319034,-5193.097909460329,41.05137235213469
DG_F3_354,-273.48011406073795,-130.54280320601032,-799.2253794085277,-666.1595055954157,-3402.268834485462,-187.46568899897184,-5845.731201984827,-7.952527492139342
DG_F3_355,15.74905702197278,-10.760592448019745,326.18772039007143,-279.64334941043194,-899.4505893273077,-233.24386745907609,-1237.1107389149388,-59.444075786354
DG_F3_356,378.7389402246484,347.1873463253221,2034.2697502039082,1312.9102324712471,6452.234667146305,360.97442171035107,10100.7034635459,383.97376223188127
DG_F3_357,260.1541449337795,59.923687466823694,809.5337783480104,217.01686553164856,2158.4706543302555,97.07699041816849,3152.773414441528,-55.89714649116849
DG_F3_360,-155.5331381587665,-243.8925645681413,-1321.3335940493648,-837.2333120962875,-4698.195929116378,-704.8471549121266,-8302.361311305569,-420.9030147370032
DG_F3_363,-567.3726598066436,-104.7661275147603,-2223.052978670096,-581.8836286818766,-6918.754399317462,-464.0498592926134,-11107.341054102037,-555.1074464721794
DG_F3_364,-168.89858977345054,-51.719278254269,-945.5734108048034,-190.01893694538418,-4606.082290484268,-150.42272534980566,-7866.387583158215,-31.742278621076263
DG_F3_365,-453.41936290057055,-130.6934671778595,-1554.0260766317015,-283.6296484657866,-5925.737638232876,-349.883249102954,-6570.137148872153,-444.2311411454343
DG_F3_366,-131.37709722777737,-46.85503296152781,-407.93564877411194,-428.4260093794364,-1611.7717569726092,30.785919876059786,83.11585126860439,188.7036490664605
DG_F3_367,-460.16032823412297,-270.04060602833175,-1855.153867501598,-942.8823745840062,-6440.953724504762,-720.1996255171198,-8465.423997948257,-413.3799634751912
DG_F3_368,-165.77126531708632,-144.926106414478,-1294.8456384586568,-394.06223340559575,-5312.810505544022,-479.6526184295425,-8293.246121429487,-344.8551152877227
DG_F3_369,-129.64163644405204,-58.10070940148333,-780.8877734379065,-465.2591696173035,-3095.4882907667147,-547.2788329828401,-2905.5395280937773,-383.5957315397019
DG_F3_370,-352.8662043834794,-184.69280666918056,-1698.64828078658,-729.2221197681641,-4135.238971837231,-768.831557306848,-4147.759036666115,-518.6070872804843
DG_F3_371,-490.6961246652717,-157.97831403306023,-1709.7493235491813,-347.52713461859753,-4911.885384618394,-122.2716954610203,-6393.870845538782,-190.2736991373887
DG_F3_372,-414.2304549361884,-211.9447796492328,-1214.4618170318297,-699.4725826760467,-2617.498298111705,-397.46653753564397,-4872.795381490434,-375.98168773113935
DG_F3_375,-263.900392812852,-72.87532647865625,-1117.812725062735,-514.6614665424073,-4158.909739628386,-610.104537882209,-5720.161058917908,-577.0050618246198
DG_F3_376,-327.80760134662523,-120.87496988695817,-1291.9074487668122,-89.1248810036953,-3286.8480512455985,-411.761191415302,-6890.46654905322,-411.29851010180266
DG_F3_377,318.54427277743235,90.75652047555852,824.4266868617761,430.2599370260512,3574.9034531858756,620.4761323484406,8362.925764042671,424.49078054665034
DG_F3_378,-155.7379263837456,-78.91777939897582,-1262.1074701177672,-334.58673780593364,-3156.1500514410827,-213.837870620749,-5286.770788769452,-236.74344988415928
DG_F3_381,-160.10307619103995,34.540959478809405,-231.7827297967458,-229.57833914797953,-29.62734161937337,-427.81284953454286,1038.067143975293,-369.94224692998404
DG_F3_384,-18.286950764767713,40.057998749961705,42.869861071230986,-69.3168314748989,1610.819209298428,188.3093430993457,3716.4362472848115,-124.53591448708227
DG_F3_385,-816.7247864589813,-276.3442629193275,-2447.939129487035,-620.1212255417838,-7414.793644403888,-455.915713310126,-11565.307125173715,-397.9428359125154
