Orthogroup	Arabidopsis	Hap1_v1.5_protein_chr16	Hap1_v1.5_protein_chr8	Total
OG0000505	0	13	1	14
OG0000506	0	13	1	14
OG0000507	0	7	7	14
OG0000508	0	7	7	14
OG0000509	0	9	5	14
OG0000510	0	8	6	14
OG0000511	0	5	9	14
OG0000512	0	10	4	14
OG0000513	0	11	3	14
OG0000514	0	10	4	14
OG0000515	0	10	4	14
OG0000516	0	13	1	14
OG0000517	0	13	1	14
OG0000518	0	13	1	14
OG0000519	0	3	11	14
OG0000520	0	13	1	14
OG0000521	0	13	1	14
OG0000522	0	5	9	14
OG0000523	0	10	4	14
OG0000524	0	12	2	14
OG0000525	0	11	3	14
OG0000526	0	3	11	14
OG0000527	0	10	4	14
OG0000528	0	13	1	14
OG0000529	0	11	3	14
OG0000530	0	10	4	14
OG0000531	0	2	12	14
OG0000532	0	14	0	14
OG0000533	0	9	5	14
OG0000534	0	13	1	14
OG0000535	0	8	6	14
OG0000536	0	13	1	14
OG0000537	0	2	12	14
OG0000538	0	3	11	14
OG0000539	0	5	9	14
OG0000540	0	1	13	14
OG0000541	0	10	4	14
OG0000542	0	8	6	14
OG0000543	0	1	13	14
OG0000544	0	1	13	14
OG0000545	0	5	9	14
OG0000546	0	1	13	14
OG0000547	0	7	7	14
OG0000548	0	0	14	14
OG0000549	0	0	14	14
OG0000550	0	0	14	14
OG0000551	0	0	14	14
OG0000552	0	0	14	14
OG0000553	13	0	0	13
OG0000554	4	4	5	13
OG0000555	8	3	2	13
OG0000556	13	0	0	13
OG0000557	4	4	5	13
OG0000558	5	4	4	13
OG0000559	13	0	0	13
OG0000560	7	3	3	13
OG0000561	2	5	6	13
OG0000562	13	0	0	13
OG0000563	5	4	4	13
OG0000564	3	5	5	13
OG0000565	7	3	3	13
OG0000566	13	0	0	13
OG0000567	3	4	6	13
OG0000568	6	2	5	13
OG0000569	4	4	5	13
OG0000570	5	4	4	13
OG0000571	13	0	0	13
OG0000572	2	3	8	13
OG0000573	4	3	6	13
OG0000574	5	4	4	13
OG0000575	4	5	4	13
OG0000576	13	0	0	13
OG0000577	3	4	6	13
OG0000578	1	5	7	13
OG0000579	2	4	7	13
OG0000580	3	5	5	13
OG0000581	13	0	0	13
OG0000582	1	5	7	13
OG0000583	13	0	0	13
OG0000584	1	5	7	13
OG0000585	13	0	0	13
OG0000586	5	4	4	13
OG0000587	1	7	5	13
OG0000588	1	5	7	13
OG0000589	4	5	4	13
OG0000590	0	13	0	13
OG0000591	0	11	2	13
OG0000592	0	13	0	13
OG0000593	0	4	9	13
OG0000594	0	8	5	13
OG0000595	0	10	3	13
OG0000596	0	12	1	13
OG0000597	0	13	0	13
OG0000598	0	13	0	13
OG0000599	0	11	2	13
OG0000600	0	13	0	13
OG0000601	0	13	0	13
OG0000602	0	11	2	13
OG0000603	0	9	4	13
OG0000604	0	11	2	13
OG0000605	0	5	8	13
OG0000606	0	8	5	13
OG0000607	0	3	10	13
OG0000608	0	13	0	13
OG0000609	0	3	10	13
OG0000610	0	12	1	13
OG0000611	0	7	6	13
OG0000612	0	2	11	13
OG0000613	0	11	2	13
OG0000614	0	13	0	13
OG0000615	0	9	4	13
OG0000616	0	13	0	13
OG0000617	0	13	0	13
OG0000618	0	1	12	13
OG0000619	0	7	6	13
OG0000620	0	12	1	13
OG0000621	0	2	11	13
OG0000622	0	13	0	13
OG0000623	0	12	1	13
OG0000624	0	13	0	13
OG0000625	0	2	11	13
OG0000626	0	12	1	13
OG0000627	0	8	5	13
OG0000628	0	2	11	13
OG0000629	0	7	6	13
OG0000630	0	2	11	13
OG0000631	0	3	10	13
OG0000632	0	6	7	13
OG0000633	0	13	0	13
OG0000634	0	3	10	13
OG0000635	0	3	10	13
OG0000636	0	3	10	13
OG0000637	0	6	7	13
OG0000638	0	2	11	13
OG0000639	0	7	6	13
OG0000640	0	7	6	13
OG0000641	0	1	12	13
OG0000642	0	3	10	13
OG0000643	0	4	9	13
OG0000644	0	3	10	13
OG0000645	0	1	12	13
OG0000646	0	13	0	13
OG0000647	0	1	12	13
OG0000648	0	1	12	13
OG0000649	0	6	7	13
OG0000650	0	10	3	13
OG0000651	0	5	8	13
OG0000652	0	0	13	13
OG0000653	0	0	13	13
OG0000654	0	0	13	13
OG0000655	0	0	13	13
OG0000656	0	0	13	13
OG0000657	0	0	13	13
OG0000658	0	0	13	13
OG0000659	0	0	13	13
OG0000660	8	3	1	12
OG0000661	12	0	0	12
OG0000662	12	0	0	12
OG0000663	4	4	4	12
OG0000664	6	2	4	12
OG0000665	7	2	3	12
OG0000666	12	0	0	12
OG0000667	4	4	4	12
OG0000668	3	5	4	12
OG0000669	4	4	4	12
OG0000670	3	7	2	12
OG0000671	5	2	5	12
OG0000672	5	3	4	12
OG0000673	12	0	0	12
OG0000674	4	4	4	12
OG0000675	5	3	4	12
OG0000676	12	0	0	12
OG0000677	6	1	5	12
OG0000678	8	2	2	12
OG0000679	4	4	4	12
OG0000680	2	6	4	12
OG0000681	2	5	5	12
OG0000682	6	2	4	12
OG0000683	4	4	4	12
OG0000684	2	8	2	12
OG0000685	3	3	6	12
OG0000686	4	4	4	12
OG0000687	3	5	4	12
OG0000688	4	4	4	12
OG0000689	3	4	5	12
OG0000690	1	7	4	12
OG0000691	4	2	6	12
OG0000692	1	4	7	12
OG0000693	2	4	6	12
OG0000694	4	5	3	12
OG0000695	2	4	6	12
OG0000696	4	3	5	12
OG0000697	0	10	2	12
OG0000698	0	6	6	12
OG0000699	0	5	7	12
OG0000700	0	7	5	12
OG0000701	0	12	0	12
OG0000702	0	11	1	12
OG0000703	0	9	3	12
OG0000704	0	10	2	12
OG0000705	0	9	3	12
OG0000706	0	10	2	12
OG0000707	0	12	0	12
OG0000708	0	4	8	12
OG0000709	0	7	5	12
OG0000710	0	5	7	12
OG0000711	0	7	5	12
OG0000712	0	2	10	12
OG0000713	0	11	1	12
OG0000714	0	11	1	12
OG0000715	0	12	0	12
OG0000716	0	12	0	12
OG0000717	0	12	0	12
OG0000718	0	11	1	12
OG0000719	0	12	0	12
OG0000720	0	12	0	12
OG0000721	0	12	0	12
OG0000722	0	3	9	12
OG0000723	0	9	3	12
OG0000724	0	12	0	12
OG0000725	0	11	1	12
OG0000726	0	2	10	12
OG0000727	0	11	1	12
OG0000728	0	9	3	12
OG0000729	0	7	5	12
OG0000730	0	1	11	12
OG0000731	0	12	0	12
OG0000732	0	11	1	12
OG0000733	0	11	1	12
OG0000734	0	4	8	12
OG0000735	0	10	2	12
OG0000736	0	5	7	12
OG0000737	0	10	2	12
OG0000738	0	7	5	12
OG0000739	0	3	9	12
OG0000740	0	9	3	12
OG0000741	0	5	7	12
OG0000742	0	10	2	12
OG0000743	0	7	5	12
OG0000744	0	8	4	12
OG0000745	0	11	1	12
OG0000746	0	2	10	12
OG0000747	0	2	10	12
OG0000748	0	10	2	12
OG0000749	0	2	10	12
OG0000750	0	1	11	12
OG0000751	0	1	11	12
OG0000752	0	1	11	12
OG0000753	0	1	11	12
OG0000754	0	4	8	12
OG0000755	0	5	7	12
OG0000756	0	1	11	12
OG0000757	0	11	1	12
OG0000758	0	1	11	12
OG0000759	0	1	11	12
OG0000760	0	12	0	12
OG0000761	0	5	7	12
OG0000762	0	5	7	12
OG0000763	0	2	10	12
OG0000764	0	1	11	12
OG0000765	0	1	11	12
OG0000766	0	2	10	12
OG0000767	0	0	12	12
OG0000768	0	0	12	12
OG0000769	0	0	12	12
OG0000770	0	0	12	12
OG0000771	0	0	12	12
OG0000772	0	0	12	12
OG0000773	0	0	12	12
OG0000774	0	0	12	12
OG0000775	8	2	1	11
OG0000776	5	3	3	11
OG0000777	8	1	2	11
OG0000778	10	1	0	11
OG0000779	11	0	0	11
OG0000780	5	3	3	11
OG0000781	3	4	4	11
OG0000782	5	3	3	11
OG0000783	11	0	0	11
OG0000784	3	5	3	11
